region,country,continent,group
G_Anglia,United Kingdom,Europe,West_Europe
G_SC_England,United Kingdom,Europe,West_Europe
G_C_England,United Kingdom,Europe,West_Europe
G_NC_England,United Kingdom,Europe,West_Europe
G_N_Yorkshire,United Kingdom,Europe,West_Europe
G_Northumberland,United Kingdom,Europe,West_Europe
G_SE_England,United Kingdom,Europe,West_Europe
G_Merseyside,United Kingdom,Europe,West_Europe
G_S_England,United Kingdom,Europe,West_Europe
G_SE_Wales,United Kingdom,Europe,West_Europe
G_NE_Scot,United Kingdom,Europe,West_Europe
G_SW_Wales,United Kingdom,Europe,West_Europe
G_Devon,United Kingdom,Europe,West_Europe
G_NW_Wales,United Kingdom,Europe,West_Europe
G_S_Yorkshire,United Kingdom,Europe,West_Europe
G_Cornwall,United Kingdom,Europe,West_Europe
G_Cornwall_Tip,United Kingdom,Europe,West_Europe
G_Orkney,United Kingdom,Europe,West_Europe
G_Lincolnshire,United Kingdom,Europe,West_Europe
G_Cumbria,United Kingdom,Europe,West_Europe
G_NW_Scot,United Kingdom,Europe,West_Europe
G_Noi,United Kingdom,Europe,West_Europe
G_Ireland,Ireland,Europe,West_Europe
E_French,France,Europe,West_Europe
E_French_Basque,France,Europe,West_Europe
E_Sardinian,Italy,Europe,South_Europe
E_North_Italian,Italy,Europe,South_Europe
E_Italy_3,Italy,Europe,South_Europe
E_Adygei,Russia,Europe,South_Europe
E_Russian,Russia,Europe,East_Europe
E_ukrainian,Ukraine,Europe,East_Europe
E_bulgarian,Bulgaria,Europe,East_Europe
E_croatian,Croatia,Europe,South_Europe
E_cypriot,Cyprus,Europe,South_Europe
E_DutchlikeGerman,Germany,Europe,West_Europe
E_german,Germany,Europe,West_Europe
E_greek,Greece,Europe,South_Europe
E_lithuania,Lithuania,Europe,East_Europe
E_mordovian,Russia,Europe,East_Europe
E_norwegian,Norway,Europe,North_Europe
E_polish,Poland,Europe,East_Europe
E_sicilianw,Italy,Europe,South_Europe
E_Spain_3,Spain,Europe,South_Europe
E_Switzerland_1,Switzerland,Europe,Middle_Europe
E_Yugoslavia_1,Republic of Serbia,Europe,South_Europe
E_CzechRepublic,Czech Republic,Europe,East_Europe
E_Romania,Romania,Europe,East_Europe
E_hungarian,Hungary,Europe,East_Europe
E_Austria,Austria,Europe,Middle_Europe
E_BelgianlikeGerman,Germany,Europe,West_Europe
E_Portugal,Portugal,Europe,South_Europe
E_PortlikeSpain,Spain,Europe,South_Europe
E_Belgium,Belgium,Europe,West_Europe
E_Netherlands,Netherlands,Europe,West_Europe
E_Finland,Finland,Europe,North_Europe
