"Populations"	"MapName"	"DisplayName"
"G_SFK,G_NFK"	"G_Anglia"	"GB Anglia"
"G_GLO,G_OXF,G_SOM"	"G_SC_England"	"GB South Central England"
"G_LEI,G_NHS"	"G_C_England"	"GB Central England"
"G_NOT,G_STA"	"G_NC_England"	"GB North Central England"
"G_RIY,G_NOY"	"G_N_Yorkshire"	"GB North Yorkshire"
"G_TYW,G_DUR,G_NOR"	"G_Northumberland"	"GB Northumberland"
"G_KEN,G_ESU,G_SUR,G_WSU"	"G_SE_England"	"GB South East England"
"G_CHE,G_MER"	"G_Merseyside"	"GB North West England"
"G_DOR,G_HAM"	"G_S_England"	"GB South England"
"G_GWE,G_WOR"	"G_SE_Wales"	"GB South East Wales"
"G_FIF"	"G_NE_Scot"	"GB Scotland (North East)"
"G_DYF"	"G_SW_Wales"	"GB South West Wales"
"G_DEV"	"G_Devon"	"GB Devon"
"G_GWN"	"G_NW_Wales"	"GB North West Wales"
"G_SOY"	"G_S_Yorkshire"	"GB South Yorkshire"
"G_COR"	"G_Cornwall"	"GB Cornwall"
"G_COR_3"	"G_Cornwall_Tip"	"GB Cornwall (South West)"
"G_ORK"	"G_Orkney"	"GB Orkney"
"G_LIN"	"G_Lincolnshire"	"GB Lincolnshire"
"G_CUM"	"G_Cumbria"	"GB Cumbria"
"G_DUM"	"G_NW_Scot"	"GB Scotland"
"G_NOI"	"G_Noi"	"GB Ireland (North)"
"New_Ireland,G_Ireland"	"G_Ireland"	"Ireland (South)"
"New_France_1,New_France_2,E_French,E_France"	"E_French"	"France"
"E_French_Basque"	"E_French_Basque"	"France (Basque)"
"E_Sardinian"	"E_Sardinian"	"Sardinia"
"E_North_Italian"	"E_North_Italian"	"Italy (North East)"
"E_Italy_3"	"E_Italy_3"	"Italy (North West)"
"E_Adygei"	"E_Adygei"	"Russia (Adygei)"
"E_Russian"	"E_Russian"	"Russia (West)"
"E_ukrainian"	"E_ukrainian"	"Ukraine"
